Library,Version,License,,,,,,,,
airline,0.6,"[""APACHE20""]",,,,,,,,
airline,0.8,"[""APACHE20""]",,,,,,,,
alabaster,0.7.12,"[""0BSD""]",,,,,,,,
aliyun-java-sdk-core,3.4.0,"[""APACHE20""]",,,,,,,,
aliyun-java-sdk-ecs,4.2.0,"[""NONE""]",,,,,,,,
aliyun-java-sdk-ram,3.0.0,"[""NONE""]",,,,,,,,
aliyun-java-sdk-sts,3.0.0,"[""MIT""]",,,,,,,,
Aliyun OSS SDK for Java,3.4.1,"[""MIT""]",,,,,,,,
ANTLR 3 Runtime,3.5.2,"[""BSD3""]",,,,,,,,
AOP alliance,1,"[""PDC""]",,,,,,,,
Apache Avro,1.7.7,"[""APACHE20""]",,,,,,,,
Apache Cassandra,4.0.7,"[""APACHE20""]",,,,,,,,
Apache Commons BeanUtils,1.9.4,"[""APACHE20""]",,,,,,,,
Apache Commons CLI,1.4,"[""APACHE20""]",,,,,,,,
Apache Commons CLI,1.2,"[""APACHE20""]",,,,,,,,
Apache Commons CLI,1.1,"[""APACHE20""]",,,,,,,,
Apache Commons Codec,1.2,"[""APACHE20""]",,,,,,,,
Apache Commons Codec,1.4,"[""APACHE20""]",,,,,,,,
Apache Commons Codec,1.15,"[""APACHE20""]",,,,,,,,
Apache Commons Collections,4.4,"[""APACHE20""]",,,,,,,,
Apache Commons Collections,3.2.2,"[""APACHE20""]",,,,,,,,
Apache Commons Compress,1.21,"[""APACHE20""]",,,,,,,,
Apache Commons Configuration,1.6,"[""APACHE20""]",,,,,,,,
Apache Commons Daemon,1.3.3,"[""APACHE20""]",,,,,,,,
Apache Commons Daemon,1.0.13,"[""APACHE20""]",,,,,,,,
Apache Commons IO,2.7,"[""APACHE20""]",,,,,,,,
Apache Commons IO,2.6,"[""APACHE20""]",,,,,,,,
Apache Commons Lang,3.1,"[""APACHE20""]",,,,,,,,
Apache Commons Lang,3.4,"[""APACHE20""]",,,,,,,,
Apache Commons Lang,3.11,"[""APACHE20""]",,,,,,,,
Apache Commons Logging,1.1.3,"[""APACHE20""]",,,,,,,,
Apache Commons Math,3.2,"[""APACHE20""]",,,,,,,,
Apache Commons Math,3.1.1,"[""APACHE20""]",,,,,,,,
Apache Commons Net,3.9.0,"[""APACHE20""]",,,,,,,,
Apache Derby Optional Tools,10.11.1.1,"[""APACHE20""]",,,,,,,,
Apache Directory API ASN.1 API,1.0.0-M20,"[""APACHE20""]",,,,,,,,
Apache Directory LDAP API Utilities,1.0.0-M20,"[""APACHE20""]",,,,,,,,
ApacheDS I18n,2.0.0-M15,"[""APACHE20""]",,,,,,,,
ApacheDS Protocol Kerberos Codec,2.0.0-M15,"[""APACHE20""]",,,,,,,,
Apache Geronimo JCache Spec 1.0,1.0-alpha-1,"[""APACHE20""]",,,,,,,,
Apache Hadoop Aliyun OSS support,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Amazon Web Services support,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Annotations,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Ant Tasks,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Archive Logs,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Archives,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Auth,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Azure Data Lake support,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Azure support,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Data Join,2.10.2,"[""APACHE20""]",,,,,,,,
Apache Hadoop Distributed Copy,2.10.2,"[""APACHE20""]",,,,,,,,
